1;arms_factory;437.00;16.60;436.00;0.79;0
1;arms_factory;473.00;11.32;438.00;4.91;0
1;arms_factory;447.00;9.70;472.00;0.18;0
1;arms_factory;432.00;13.62;436.00;2.85;0
1;arms_factory;461.00;13.75;407.00;0.69;0
1;arms_factory;435.00;11.95;408.00;1.90;0
1;industrial_complex;466.00;12.28;454.00;4.91;0
1;industrial_complex;423.00;13.55;427.00;1.29;0
1;industrial_complex;477.00;9.70;470.00;3.96;0
1;industrial_complex;419.00;10.45;474.00;0.34;0
1;industrial_complex;406.00;10.75;465.00;3.36;0
1;industrial_complex;465.00;12.85;436.00;4.57;0
1;air_base;436.00;11.85;466.00;2.41;0
1;supply_node;457.00;15.78;421.00;0.06;0
1;supply_node;466.00;10.82;460.00;2.99;0
1;supply_node;399.00;10.73;453.00;4.47;0
1;supply_node;443.00;12.50;452.00;2.23;0
1;supply_node;417.00;10.88;471.00;3.71;0
1;supply_node;476.00;11.45;437.00;0.36;0
1;supply_node;420.00;14.18;442.00;4.40;0
1;supply_node;408.00;10.05;426.00;5.88;0
1;supply_node;430.00;12.10;418.00;2.53;0
1;supply_node;492.00;11.28;453.00;5.12;0
1;naval_base;391.00;9.50;450.00;-1.82;829
1;naval_base;401.00;9.50;480.00;-1.98;1131
1;naval_base;458.00;9.70;471.00;-2.71;1052
1;naval_base;405.00;9.50;420.00;-0.32;640
1;naval_base;445.00;9.70;473.00;-3.24;712
1;naval_base;500.00;9.70;459.00;-3.32;1125
1;naval_base;420.00;9.50;408.00;-0.43;1123
1;bunker;394.00;9.78;457.00;0.41;0
1;bunker;479.00;10.65;431.00;3.08;0
1;bunker;488.00;10.78;458.00;0.92;0
1;bunker;430.00;10.90;471.00;1.02;0
1;bunker;455.00;10.93;463.00;5.15;0
1;bunker;440.00;11.45;460.00;2.98;0
1;bunker;450.00;13.12;417.00;4.54;0
1;bunker;434.00;13.80;429.00;0.92;0
1;bunker;411.00;11.32;441.00;3.59;0
1;bunker;403.00;9.70;429.00;1.43;0
1;coastal_bunker;492.00;9.70;465.00;-3.32;0
1;coastal_bunker;391.00;9.50;442.00;-0.40;0
1;coastal_bunker;434.00;9.70;476.00;-4.18;0
1;coastal_bunker;402.00;9.50;426.00;-0.32;0
1;coastal_bunker;462.00;9.70;471.00;-2.71;0
1;coastal_bunker;417.00;9.50;412.00;-1.08;0
1;coastal_bunker;444.00;9.70;472.00;-3.24;0
1;dockyard;417.00;9.50;411.00;-1.08;0
1;anti_air_building;460.00;13.45;435.00;6.16;0
1;anti_air_building;426.00;12.57;421.00;1.09;0
1;anti_air_building;479.00;10.48;465.00;5.22;0
1;synthetic_refinery;416.00;10.98;470.00;0.49;0
1;fuel_silo;411.00;12.75;456.00;4.61;0
1;radar_station;449.00;13.00;444.00;1.73;0
1;rocket_site;447.00;12.23;458.00;3.66;0
1;nuclear_reactor;475.00;12.57;445.00;5.22;0
